date,gdp
2023-02-07,2300882
2023-02-08,2300882
2023-02-09,2300882
2023-02-10,2300882
2023-02-13,2300882
2023-02-14,2300882
2023-02-15,2300882
2023-02-16,2300882
2023-02-17,2300882
2023-02-20,2300882
2023-02-21,2300882
2023-02-22,2300882
2023-02-23,2300882
2023-02-24,2300882
2023-02-27,2300882
2023-02-28,2300882
2023-03-01,2300882
2023-03-02,2300882
2023-03-03,2300882
2023-03-06,2300882
2023-03-07,2300882
2023-03-08,2300882
2023-03-09,2300882
2023-03-10,2300882
2023-03-13,2300882
2023-03-14,2300882
2023-03-15,2300882
2023-03-16,2300882
2023-03-17,2300882
2023-03-20,2300882
2023-03-21,2300882
2023-03-22,2300882
2023-03-23,2300882
2023-03-24,2300882
2023-03-27,2300882
2023-03-28,2300882
2023-03-29,2300882
2023-03-30,2300882
2023-03-31,2300882
2023-04-03,2444649
2023-04-04,2444649
2023-04-05,2444649
2023-04-06,2444649
2023-04-07,2444649
2023-04-10,2444649
2023-04-11,2444649
2023-04-12,2444649
2023-04-13,2444649
2023-04-14,2444649
2023-04-17,2444649
2023-04-18,2444649
2023-04-19,2444649
2023-04-20,2444649
2023-04-21,2444649
2023-04-24,2444649
2023-04-25,2444649
2023-04-26,2444649
2023-04-27,2444649
2023-04-28,2444649
2023-05-01,2444649
2023-05-02,2444649
2023-05-03,2444649
2023-05-04,2444649
2023-05-05,2444649
2023-05-08,2444649
2023-05-09,2444649
2023-05-10,2444649
2023-05-11,2444649
2023-05-12,2444649
2023-05-15,2444649
2023-05-16,2444649
2023-05-17,2444649
2023-05-18,2444649
2023-05-19,2444649
2023-05-22,2444649
2023-05-23,2444649
2023-05-24,2444649
2023-05-25,2444649
2023-05-26,2444649
2023-05-29,2444649
2023-05-30,2444649
2023-05-31,2444649
2023-06-01,2444649
2023-06-02,2444649
2023-06-05,2444649
2023-06-06,2444649
2023-06-07,2444649
2023-06-08,2444649
2023-06-09,2444649
2023-06-12,2444649
2023-06-13,2444649
2023-06-14,2444649
2023-06-15,2444649
2023-06-16,2444649
2023-06-19,2444649
2023-06-20,2444649
2023-06-21,2444649
2023-06-22,2444649
2023-06-23,2444649
2023-06-26,2444649
2023-06-27,2444649
2023-06-28,2444649
2023-06-29,2444649
2023-06-30,2444649
